Year,Manufacturer,Model,CarOrdinal
2012,MINI,John Cooper Works GP Forza Edition,2700
2009,MINI,John Cooper Works,1098
1965,MINI,Cooper S,1662
1965,MINI,Cooper S Forza Edition,2699
2008,Mitsubishi,Lancer Evolution X GSR,1009
2006,Mitsubishi,Lancer Evolution IX MR,374
2004,Mitsubishi,Lancer Evolution VIII MR,378
1999,Mitsubishi,Lancer Evolution VI GSR,375
1997,Mitsubishi,GTO,357
1995,Mitsubishi,Eclipse GSX,327
1992,Mitsubishi,Galant VR-4,1381
1988,Mitsubishi,Starion ESI-R,1297
2017,Nissan,#23 Nissan Motorsport Altima,2798
2017,Nissan,#78 Nissan Motorsport Altima,2797
2017,Nissan,GT-R,2618
2016,Nissan,TITAN Warrior Concept,2662
2015,Nissan,#23 GT-R LM NISMO,2368
2015,Nissan,#23 NISMO MOTUL AUTECH GT-R,2377
2015,Nissan,IDx NISMO,2213
2014,Nissan,Juke Nismo RS,2136
2012,Nissan,GT-R Black Edition,2002
2012,Nissan,GT-R Black Edition Forza Edition,2701
2010,Nissan,370Z,1103
2003,Nissan,Fairlady Z,344
2002,Nissan,Skyline GT-R V-Spec II,445
2000,Nissan,Silvia Spec-R,441
2000,Nissan,Silvia Spec-R Forza Edition,2702
1998,Nissan,R390,567
1998,Nissan,Silvia K's Aero,2659
1997,Nissan,Skyline GT-R V-Spec,1043
1995,Nissan,NISMO GT-R LM,2738
1994,Nissan,#75 Cunningham Racing 300ZX,2099
1994,Nissan,Fairlady Z Version S Twin Turbo,345
1994,Nissan,Silvia K's,440
1993,Nissan,240SX SE,1282
1993,Nissan,Skyline GT-R V-Spec,444
1992,Nissan,Silvia CLUB K's,439
1991,Nissan,#23 Nissan R91CP,2483
1988,Nissan,#33 Bob Sharp Racing 300ZX,2840
1987,Nissan,Skyline GTS-R (R31),2512
1985,Nissan,#83 Electramotive Engineering GTP ZX-Turbo,3018
1985,Nissan,Safari Turbo,2822
1984,Nissan,#11 Tomica Skyline Turbo Super Silhouette,2801
1984,Nissan,#20 Coca-Cola Bluebird Super Silhouette,2482
1973,Nissan,Skyline H/T 2000GT-R,2270
1971,Nissan,Skyline 2000GT-R,1042
1969,Nissan,#21 Nissan Racing R382,2269
1969,Nissan,Fairlady Z 432,343
1967,Nissan,R380 II,2823
1966,Nissan,Silvia,2273
2010,Noble,M600,1253
1969,Oldsmobile,Hurst/Olds 442,1336
1984,Opel,Manta 400,2420
1979,Opel,Kadett C GT/E,2160
1968,Opel,GT,2429
2016,Pagani,Huayra BC,2647
2012,Pagani,Huayra,1427
2010,Pagani,Zonda R,1175
2009,Pagani,Zonda Cinque Roadster,1369
2011,Penhall,The Cholla,2515
2011,Peugeot,#10 Team Matmut 908,1445
2011,Peugeot,308 GTI,1348
2009,Peugeot,#9 Peugeot Sport Total 908,1191
1993,Peugeot,#3 Peugeot Talbot Sport 905 EVO 1C,550
1984,Peugeot,205 Turbo 16,1591
2000,Plymouth,Prowler,2137
1971,Plymouth,Cuda 426 HEMI,1277
1971,Plymouth,GTX 426 HEMI,1331
1971,Plymouth,GTX Fast & Furious Edition,2803
1970,Plymouth,Hemi Cuda Convertible Barrett-Jackson Edition,3045
1959,Plymouth,Atomic Punk Bubbletop,3044
1958,Plymouth,Fury,2216
2015,Polaris,RZR XP 1000 EPS,2521
2009,Pontiac,G8 GXP,1109
2009,Pontiac,Solstice GXP,1307
2002,Pontiac,Firebird Trans Am Ram Air,1065
1987,Pontiac,Firebird Trans Am GTA,1045
1987,Pontiac,Firebird Trans Am GTA Forza Edition,3057
1977,Pontiac,Firebird Trans Am,1276
1973,Pontiac,Firebird Trans Am SD-455,1005
1969,Pontiac,Firebird Trans Am,1337
1969,Pontiac,GTO Judge,1309
1965,Pontiac,GTO,1285
2019,Porsche,911 GT3 RS,3072
2018,Porsche,911 GT2 RS,2755
2018,Porsche,Cayenne Turbo,2773
2017,Porsche,#2 Porsche Team 919 Hybrid,2774
2017,Porsche,#911 Porsche GT Team 911 RSR,2775
2017,Porsche,Panamera Turbo,2741
2016,Porsche,911 GT3 RS,2528
2016,Porsche,Cayman GT4,2529
2015,Porsche,#19 Porsche Team 919 Hybrid,2554
2015,Porsche,Macan Turbo,2295
2014,Porsche,911 Turbo S,2289
2014,Porsche,918 Spyder,2290
2012,Porsche,911 GT2 RS,1539
2012,Porsche,911 GT3 RS 4.0,2297
2012,Porsche,Cayenne Turbo,1542
2011,Porsche,#45 Flying Lizard 911 GT3 RSR,1563
2008,Porsche,#7 Penske Racing RS Spyder Evo,1030
2004,Porsche,911 GT3,262
2003,Porsche,Carrera GT,292
1998,Porsche,911 GT1 Strassenversion,641
1995,Porsche,911 GT2,261
1993,Porsche,911 Turbo S Leichtbau,2794
1993,Porsche,928 GTS,2535
1989,Porsche,944 Turbo,268
1988,Porsche,#17 Porsche Dunlop 962C,2827
1987,Porsche,#17 Porsche AG 962C,540
1987,Porsche,959,269
1982,Porsche,911 Turbo 3.3,265
1980,Porsche,924 Carrera GTS,2532
1978,Porsche,#78 MOMO 935/78,2548
1973,Porsche,#6 Penske Sunoco 917/30 Can-Am Spyder,3030
1973,Porsche,911 Carrera RS,260
1971,Porsche,#23 917/20,2869
1970,Porsche,914/6,266
1966,Porsche,906 Carrera 6,3021
1964,Porsche,904 Carrera GTS,2747
1962,Porsche,804,2536
1960,Porsche,718 RS 60,2537
1957,Porsche,356A Speedster,2299
1955,Porsche,550 Spyder,1281
2015,Radical,RXC Turbo,2486
2011,Radical,SR8 RX,1247
2017,Ram,2500 Power Wagon,2838
2013,Ram,Ram Runner,2144
2013,Ram,Ram Runner Forza Edition,2678
2017,Renault,R.S.17,2845
2013,Renault,Clio R.S. 200 EDC,2022
2010,Renault,Clio R.S.,1264
2010,Renault,Megane R.S. 250,1204
2003,Renault,Sport Clio V6,453
1993,Renault,Clio Williams,2149
1990,Renault,Alpine GTA Le Mans,2426
1980,Renault,5 Turbo,634
1973,Renault,Alpine A110 1600s,1536
2016,RJ Anderson,#37 Polaris RZR-Rockstar Energy Pro 2 Truck,2663
2016,Rolls-Royce,Dawn,2546
2014,Rolls-Royce,Wraith,2044
2004,Saleen,S7,432
1965,Shelby,Cobra 427 S/C,306
1965,Shelby,Cobra Daytona Coupe,1155
1963,Shelby,Monaco King Cobra,3079
2016,Spania GTA,GTA Spano,2475
2013,SRT,#91 SRT Motorsport GTS-R,1606
2013,SRT,Viper GTS,1562
2016,SUBARU,#199 WRX STI VT15r Rally Car,2715
2016,SUBARU,#75 WRX STI VT15r Rally Car,2716
2016,SUBARU,WRX STI Fast & Furious Edition,2820
2015,SUBARU,WRX STI,2168
2013,SUBARU,BRZ,1655
2013,SUBARU,BRZ Fast & Furious Edition,2804
2013,SUBARU,BRZ Forza Edition,2705
2011,SUBARU,WRX STI,1323
2008,SUBARU,Impreza WRX STI,1060
2005,SUBARU,Impreza WRX STi,365
2005,SUBARU,Legacy B4 2.0 GT,379
2004,SUBARU,Impreza WRX STi,364
1998,SUBARU,Impreza 22B STi,363
1998,SUBARU,Impreza 22B STi Forza Edition,2706
1996,SUBARU,SVX,2217
1990,SUBARU,Legacy RS,1382
1980,SUBARU,BRAT GL,2140
1980,SUBARU,BRAT GL Forza Edition,2704
1968,SUBARU,360,2799
2017,Tamo,Racemo,2746
2017,Toyota,#18 Joe Gibbs Racing M&Ms Camry,2834
2017,Toyota,#18 Joe Gibbs Racing Skittles Camry,2836
2017,Toyota,#18 Joe Gibbs Racing Snickers Camry,2835
2016,Toyota,Land Cruiser Arctic Trucks AT37,2743
2007,Toyota,Hilux Arctic Trucks AT38,2656
1993,Toyota,#1 T100 Baja Truck,2636
1992,Toyota,#99 All American Racers Toyota Eagle Mk III,2434
2005,TVR,Sagaris,433
1998,TVR,Cerbera Speed 12,296
2015,Ultima,Evolution Coupe 1020,2569
2016,Vauxhall,Corsa VXR,2427
2012,Vauxhall,Astra VXR,1490
2009,Vauxhall,Corsa VXR,1101
2006,Vauxhall,Astra VXR,278
1990,Vauxhall,Lotus Carlton,291
2015,Volkswagen,Global RallyCross Beetle,2257
2014,Volkswagen,Golf R,2142
2011,Volkswagen,Scirocco R,1428
2010,Volkswagen,Golf R,1231
2008,Volkswagen,Touareg R50,1094
2003,Volkswagen,Golf R32,354
1998,Volkswagen,GTI VR6 Mk3,1383
1995,Volkswagen,Corrado VR6,309
1992,Volkswagen,Golf Gti 16v Mk2,353
1988,Volkswagen,Scirocco 16v,1612
1984,Volkswagen,Rabbit GTI,1107
1981,Volkswagen,Scirocco S,1380
1970,Volkswagen,#1107 Desert Dingo Racing Stock Bug,2258
1967,Volkswagen,Karmann Ghia,1561
1967,Volkswagen,Type 3 1600 L,2374
1963,Volkswagen,Beetle,1435
1963,Volkswagen,Type 2 De Luxe,2151
2017,Volvo,XC90 R-Design,2867
2015,Volvo,S60 Polestar,2259
2015,Volvo,V60 Polestar,2586
2014,Volvo,#1 Volvo Polestar Racing S60 STCC,2251
2014,Volvo,#13 Volvo Polestar Racing S60 STCC,2402
1997,Volvo,850 R,1387
1983,Volvo,242 Turbo Evolution,1299
1972,Volvo,1800E,1595
1967,Volvo,123GT,1594
2017,VUHL,05RR,2844
2016,W Motors,Lykan HyperSport,2428
2016,Zenvo,ST1,2474
